ID,race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
4372,4,19,2,2,1,1,IN,2,3,3,4,2,3,2,4,2,5,4,3,3,3,3,4,3,2,4,2,2,4,2,4,3,3,3,3,3,2,3,4,2,4,2,4,4,4,2,3,4,3,4,3,4,2,3,2,4,4
4374,1,40,2,2,1,5,MX,2,2,4,5,2,3,2,2,2,2,3,2,5,3,3,3,3,2,3,5,2,4,1,5,1,4,1,4,5,4,2,3,5,2,4,2,3,2,2,2,4,4,2,1,2,3,4,3,5,2
4375,3,40,1,1,1,1,US,2,2,1,4,2,2,1,4,2,5,4,2,5,2,4,5,4,4,5,4,4,2,4,4,4,2,5,2,4,2,3,4,4,2,2,4,4,4,4,3,5,1,5,2,4,1,5,4,5,5
4376,3,40,1,2,1,2,US,3,1,5,3,5,4,5,3,3,3,3,3,3,1,2,3,2,1,2,1,1,5,1,5,1,5,1,2,5,1,5,3,5,2,3,3,5,1,5,4,5,1,4,1,5,5,5,4,4,5
4377,3,14,2,2,3,1,US,4,3,2,2,2,5,5,5,4,2,5,2,5,1,4,4,4,5,4,5,4,4,4,3,3,2,5,2,3,5,4,4,5,4,2,4,4,3,4,5,5,2,5,1,4,1,4,4,4,5
4378,13,22,2,2,1,5,US,3,2,4,2,4,1,4,2,4,5,4,3,5,5,1,2,3,2,5,1,2,3,1,5,1,5,2,5,4,4,4,4,4,2,2,1,4,1,4,5,4,1,4,1,4,1,4,4,5,4
4379,3,28,2,1,1,1,SE,3,3,4,3,4,2,4,2,3,3,2,4,2,2,4,1,3,3,3,4,4,2,2,2,5,2,4,2,3,3,5,3,5,4,3,3,4,3,4,3,4,1,5,1,3,1,4,4,4,3
4380,3,20,1,1,1,2,US,1,2,2,4,5,1,1,1,4,4,3,3,4,5,3,3,1,1,3,1,3,4,2,2,4,1,3,4,4,1,4,2,5,1,4,2,5,2,5,4,3,1,4,1,4,1,5,3,5,4
4381,9,25,2,1,1,2,IN,1,3,2,4,1,3,2,4,3,5,4,2,4,4,4,2,2,3,2,4,4,3,2,4,2,4,4,2,4,2,2,4,3,4,1,4,3,4,1,2,3,2,4,2,2,3,3,3,5,3
4383,3,52,1,2,1,1,US,3,2,2,2,4,1,4,4,2,3,2,3,4,1,3,3,2,2,2,5,1,4,1,5,1,5,1,4,5,4,2,4,4,4,1,5,5,4,1,3,2,4,4,2,4,1,1,1,5,3
4384,3,18,1,2,1,1,US,3,1,5,1,5,1,5,2,5,1,3,5,2,5,2,2,2,2,1,1,1,5,1,5,1,4,1,4,4,4,4,3,4,2,4,2,4,1,5,5,4,1,5,2,5,1,5,4,4,5
4385,3,19,2,2,1,1,TR,3,1,5,1,5,2,5,2,5,1,2,5,4,3,1,3,4,4,1,1,2,5,1,5,1,5,2,4,5,5,2,4,4,4,1,4,2,3,2,4,4,1,5,1,4,1,5,4,5,5
4386,3,45,1,2,1,2,US,1,3,3,5,1,4,1,5,1,5,3,5,4,3,3,2,3,1,2,3,1,3,1,5,1,5,1,5,5,5,4,3,5,3,2,2,4,3,3,5,5,3,3,3,4,1,5,3,5,5
4387,3,25,2,2,2,1,FI,4,1,5,2,5,3,4,1,5,4,2,3,4,1,5,1,4,3,4,3,2,5,3,4,2,4,2,4,2,4,3,4,3,4,1,2,4,3,4,4,3,2,4,2,2,2,3,4,4,3
4388,3,66,1,2,1,1,DE,3,2,5,2,5,2,5,2,4,2,1,5,1,1,1,4,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,4,5,1,4,1,5,1,5,5,5,2,5,4,5,1,4,3,4,5
4389,11,34,2,2,1,1,US,3,3,4,3,4,3,4,4,3,3,2,4,3,3,2,3,2,1,2,2,1,4,1,5,3,5,3,4,5,4,4,1,5,1,4,4,5,2,4,2,3,4,3,1,5,1,4,3,3,4
4390,13,23,2,2,1,1,US,1,4,4,5,3,2,2,5,1,5,3,3,3,3,2,3,2,2,2,2,1,4,3,5,3,4,2,4,5,3,3,3,5,3,1,3,3,3,3,3,3,2,5,1,4,1,4,3,4,4
4391,4,25,2,1,1,1,LK,2,2,3,3,3,2,2,5,5,5,3,3,4,3,4,4,5,5,4,5,2,4,3,4,1,5,1,4,4,3,3,3,3,3,3,4,3,2,2,3,3,3,4,1,4,1,4,4,5,4
4392,3,28,1,1,1,1,US,3,2,4,2,5,1,5,3,3,4,5,2,5,1,5,5,5,5,5,4,1,5,3,5,1,5,1,5,5,5,4,2,5,2,4,1,5,1,5,5,5,1,5,1,4,1,5,5,5,5
4393,3,31,2,2,3,1,GR,3,3,4,3,3,2,2,3,3,3,4,4,4,3,3,3,2,2,3,3,2,5,2,4,2,4,1,4,4,4,4,2,3,2,3,2,3,2,4,3,4,2,4,2,3,2,4,4,3,4
4394,3,26,2,2,1,2,NO,5,2,4,2,3,1,4,1,5,4,3,2,5,1,2,5,4,4,4,5,1,4,3,5,1,5,2,3,5,4,3,4,3,3,4,3,5,3,4,3,5,3,3,2,4,4,3,3,5,3
4395,3,23,1,2,1,1,DE,2,2,4,5,1,2,1,5,4,5,1,5,2,4,2,2,1,1,3,2,1,3,1,5,4,5,2,5,5,4,4,1,4,1,5,1,5,2,5,5,5,1,5,1,5,1,5,5,5,5
4396,4,42,1,1,1,1,IN,2,5,4,3,1,4,1,3,1,5,4,5,1,4,4,2,4,1,1,1,4,3,1,4,3,5,3,4,4,3,3,5,3,3,1,5,4,3,1,1,5,4,5,2,3,3,2,1,3,3
4397,3,52,1,2,1,1,GB,4,2,5,2,5,2,5,4,4,2,3,4,2,4,2,2,2,2,2,2,2,5,2,2,2,2,2,4,2,4,4,3,2,2,2,2,2,2,2,2,4,1,4,1,4,2,5,5,2,5
4398,3,15,1,2,1,1,US,1,3,2,4,3,2,1,4,4,5,4,2,4,3,3,2,2,1,2,3,2,3,4,4,2,2,2,4,4,3,2,4,4,4,1,3,3,2,4,3,4,1,5,1,4,1,4,4,5,5
4399,13,16,1,2,1,1,GB,2,4,2,5,2,1,1,5,1,3,4,3,4,3,3,2,3,4,4,4,2,2,5,4,2,2,4,3,2,4,1,3,4,4,1,3,2,4,3,3,1,4,2,1,2,2,2,1,3,4
4400,11,27,1,1,1,4,US,4,1,5,2,5,2,5,3,4,1,3,3,2,3,2,2,4,3,5,1,3,5,4,3,3,3,3,3,2,4,2,2,3,2,4,2,4,3,3,4,4,2,3,1,3,2,4,4,3,3
4401,3,20,1,2,3,1,US,2,4,4,4,3,2,2,3,4,4,3,5,2,4,2,2,2,2,4,2,5,3,4,2,4,3,4,2,2,4,3,4,5,3,2,4,3,3,3,5,4,2,5,2,4,1,4,3,5,3
4402,3,35,1,2,1,5,US,2,2,2,4,4,1,1,5,1,4,4,1,4,2,5,4,4,4,4,4,1,2,2,5,1,5,2,3,5,2,2,4,2,4,5,2,4,1,4,4,3,2,3,2,3,3,3,2,4,4
4403,13,23,1,2,1,5,US,3,2,4,5,4,2,3,4,2,5,5,3,5,4,5,5,5,5,4,4,1,5,1,5,1,5,1,5,5,4,4,4,4,3,3,5,4,2,4,3,4,2,3,2,3,3,4,3,4,3
4404,3,42,1,1,1,1,GB,1,5,4,5,2,4,1,5,1,2,3,2,4,2,4,4,2,1,4,4,1,4,2,4,2,3,2,5,4,3,4,2,5,1,3,1,5,1,5,5,2,1,4,1,4,4,5,4,4,5
4405,13,36,2,2,1,1,CA,2,4,4,4,4,3,1,5,1,5,2,4,4,4,3,4,1,1,2,1,1,4,1,5,3,5,2,4,5,5,5,1,5,1,5,1,5,1,5,5,3,4,4,4,4,4,5,4,5,4
4406,3,16,1,1,1,5,AU,1,5,1,5,1,5,1,5,1,5,3,2,4,3,2,2,2,2,4,3,4,2,2,2,3,2,4,2,1,2,4,2,4,3,4,2,5,2,5,4,5,1,4,1,4,2,5,5,5,3
4407,3,27,1,2,1,2,US,3,2,4,3,4,2,4,4,2,3,2,3,3,2,2,2,3,2,2,3,1,5,2,4,3,1,2,3,4,3,4,4,5,1,1,4,5,1,5,4,5,1,3,1,3,2,4,4,4,2
4408,1,23,1,2,1,3,US,3,1,5,1,5,1,5,3,5,4,5,2,5,2,5,5,5,5,5,2,1,3,2,5,2,5,1,5,5,5,3,4,4,3,2,3,5,3,5,3,5,1,4,1,3,1,3,2,4,3
4409,3,16,1,2,2,1,AU,2,3,1,4,1,2,1,5,2,5,5,1,5,2,1,1,4,5,5,5,3,5,3,4,1,1,3,4,5,2,5,4,5,2,2,1,5,2,4,3,3,1,5,1,4,1,4,3,5,5
4410,3,17,1,1,1,1,AU,3,1,3,2,3,3,5,3,2,4,2,3,3,1,3,2,2,2,3,1,2,5,2,3,1,5,1,5,5,2,1,5,4,3,1,5,2,3,2,2,4,3,5,3,3,2,2,3,3,3
4413,3,17,1,2,1,5,AU,1,3,4,5,4,1,4,2,4,1,1,5,1,2,1,1,3,3,3,1,1,5,1,5,2,3,1,5,3,4,4,2,5,2,1,2,5,4,1,5,5,1,2,1,5,2,5,5,5,5
4414,3,21,1,2,2,2,US,4,1,5,1,5,1,5,1,5,1,2,3,3,4,4,4,3,2,1,1,3,5,3,4,2,3,2,4,3,5,3,3,5,2,2,2,2,2,2,2,4,2,5,1,4,1,3,3,3,4
4415,12,21,2,2,1,5,EU,4,3,3,4,4,3,3,2,4,4,2,4,4,3,4,3,5,5,4,2,4,4,2,5,4,4,2,3,4,4,4,2,5,2,4,2,4,2,4,4,5,1,5,1,5,1,4,4,5,4
4416,3,50,1,2,1,1,GB,4,1,5,1,5,1,5,5,1,1,3,3,3,3,3,3,3,3,4,3,2,5,1,5,1,5,1,4,5,5,2,4,2,1,1,3,4,3,1,4,5,1,5,1,5,1,5,5,5,5
4417,13,29,1,2,1,1,US,5,1,5,2,4,1,3,3,3,3,2,5,3,3,3,1,3,1,1,1,1,5,2,5,2,5,2,5,5,5,3,1,5,1,2,2,5,1,3,3,5,1,5,4,5,1,5,5,3,4
4418,3,36,1,2,1,2,US,3,2,4,3,4,2,3,4,2,4,4,2,3,2,2,3,3,3,3,2,2,4,3,4,2,4,2,4,4,3,4,3,4,2,3,2,4,2,4,4,3,2,4,2,4,2,4,4,5,5
4419,13,21,1,2,1,1,US,3,2,4,3,4,3,3,5,2,5,5,3,5,1,2,3,4,3,3,4,5,4,2,5,1,4,2,4,4,3,4,3,4,4,2,2,4,2,4,3,3,1,5,1,5,2,4,4,5,5
4420,3,23,1,2,1,5,US,5,1,3,1,5,1,5,2,5,1,5,3,5,3,4,5,3,3,5,3,1,5,2,4,1,5,1,5,5,3,4,2,4,2,3,1,5,2,5,3,4,2,5,1,5,1,4,3,5,5
4421,3,19,1,1,1,1,US,2,3,3,3,4,2,2,3,2,5,3,4,4,3,1,2,3,1,2,2,1,5,1,5,1,4,2,5,4,4,4,3,4,3,2,3,4,2,4,3,4,2,5,2,4,1,4,3,4,4
4422,3,47,1,1,1,1,US,3,3,3,3,3,3,3,3,3,3,1,4,2,2,1,3,2,3,4,2,2,2,1,2,3,2,3,3,2,3,5,1,5,1,5,1,5,1,5,4,3,1,5,1,5,1,5,2,3,5
4423,4,14,1,2,1,1,AU,1,2,1,2,1,1,1,5,1,5,2,3,4,3,5,1,3,2,3,2,1,3,2,3,2,4,2,4,4,2,4,1,3,2,1,1,3,4,1,3,1,4,5,1,3,1,3,1,5,3
4424,3,34,1,2,1,3,US,3,2,3,3,3,2,3,3,3,3,5,3,5,1,5,3,5,5,5,5,2,3,4,5,3,3,3,4,4,3,2,5,2,5,2,5,5,3,2,2,3,3,4,3,3,2,4,3,5,3
4425,3,15,1,1,1,1,US,1,5,2,5,1,5,1,5,1,5,4,3,3,2,4,4,4,3,5,4,4,3,3,3,3,4,4,2,4,2,2,4,5,4,2,4,5,3,2,3,4,2,4,2,4,3,4,4,3,4
4426,3,23,1,2,1,3,US,3,3,2,5,4,2,1,5,1,4,5,2,5,3,3,4,5,3,3,2,1,3,3,4,2,5,3,5,1,2,5,2,5,1,1,2,5,3,5,3,4,2,5,1,5,1,5,4,4,5
4427,3,55,1,2,1,1,US,4,1,5,2,4,1,4,3,4,3,3,3,3,4,3,2,2,1,2,2,1,4,1,4,1,4,1,5,4,3,4,2,5,1,3,1,4,1,4,4,4,2,5,3,4,1,4,3,4,5
4428,3,14,1,1,1,1,US,4,2,5,2,5,3,5,3,3,5,5,4,5,5,2,1,3,3,4,2,1,5,2,4,2,3,1,4,4,5,4,1,4,1,1,2,4,2,4,4,4,1,5,1,5,1,5,4,3,4
4429,1,44,1,1,2,5,US,2,4,3,4,3,3,3,4,3,4,2,3,4,3,2,2,2,2,2,2,3,4,2,4,2,4,2,4,4,3,3,3,3,2,3,2,3,2,3,4,3,2,3,2,3,2,3,3,4,4
4430,3,32,1,2,1,1,AU,3,3,3,4,3,1,2,4,2,4,5,1,5,1,2,4,5,5,2,5,1,5,2,5,1,5,1,5,5,4,1,5,5,3,1,5,5,5,1,2,4,1,5,1,5,1,4,4,5,5
4431,1,24,2,1,1,1,VE,1,1,1,5,3,1,1,5,1,3,5,1,1,1,5,5,2,1,5,2,2,4,2,1,2,1,2,4,2,4,2,1,1,5,1,5,1,4,1,1,5,1,5,1,2,1,5,4,5,5
4432,3,20,2,1,1,1,HR,2,4,4,4,3,4,1,4,4,4,1,4,4,3,3,2,2,2,3,4,4,3,1,3,3,2,2,3,3,3,3,1,4,1,4,1,5,2,4,4,3,3,3,4,5,1,5,1,5,5
4433,6,57,1,2,1,1,US,3,2,4,2,4,2,4,2,4,4,2,5,2,2,2,2,1,1,1,1,3,4,4,2,4,2,4,4,2,4,4,1,2,2,3,2,4,1,5,3,3,5,2,4,3,2,3,3,2,1
4434,3,21,1,1,1,1,US,2,3,4,3,3,2,2,5,3,4,4,4,5,3,2,4,2,2,4,2,1,5,3,4,2,4,1,4,3,4,3,4,4,4,2,4,3,2,2,3,4,2,4,2,4,1,4,4,5,4
4435,11,19,2,2,1,2,SG,2,3,5,4,4,3,3,4,2,3,3,2,4,3,1,2,3,1,1,2,1,5,1,5,1,5,1,4,5,5,4,1,5,1,4,1,5,1,4,5,4,2,4,2,4,3,5,3,5,3
4436,3,17,1,2,1,1,US,3,3,3,3,4,3,2,2,4,3,4,3,4,3,3,2,2,2,3,2,2,5,1,5,2,4,2,4,4,4,3,2,3,2,2,2,4,3,2,3,2,4,3,2,3,3,3,2,2,2
4437,3,16,1,1,3,1,AU,5,3,3,2,4,2,4,3,4,3,3,4,2,3,3,1,2,2,3,2,2,3,4,3,2,2,2,4,4,4,4,2,5,2,2,2,4,3,4,4,5,2,4,2,4,2,5,4,4,5
4438,3,19,1,2,2,5,GB,5,1,5,1,5,1,5,1,5,2,5,2,5,4,5,4,5,4,4,2,2,5,4,4,2,3,1,5,5,5,3,5,5,5,1,5,4,3,4,5,3,4,2,2,4,4,4,2,5,4
4439,3,18,1,2,1,2,US,1,5,1,5,1,5,1,5,1,5,2,4,4,1,1,4,5,5,4,5,3,5,5,3,2,5,1,4,3,2,2,3,5,4,2,5,2,3,3,2,2,2,5,1,4,1,3,2,5,5
4440,11,16,2,2,1,1,PH,1,3,3,3,3,3,1,5,2,5,4,3,4,3,3,4,5,5,5,3,3,4,3,4,4,2,4,3,3,3,4,1,3,2,3,4,2,2,3,4,3,3,3,3,3,3,4,3,5,3
4441,8,19,1,2,1,2,CA,1,4,4,5,2,1,1,5,2,5,2,4,2,2,2,2,2,2,2,4,1,5,1,4,1,4,2,4,4,4,2,4,4,5,2,4,3,3,1,2,5,2,4,2,4,1,5,4,5,4
4442,1,19,1,2,1,2,US,1,4,2,5,2,5,2,5,1,5,4,4,5,4,3,4,3,3,3,4,1,3,2,5,1,5,3,4,4,4,4,3,5,3,3,4,3,3,3,4,3,2,5,2,5,1,4,3,3,4
4443,3,18,1,2,1,1,US,2,2,2,3,5,2,5,4,2,4,2,3,4,2,2,2,2,1,3,2,4,2,4,2,4,1,3,2,2,4,4,1,4,3,2,2,4,2,1,4,5,1,4,1,4,2,4,4,5,5
4444,6,19,1,2,2,2,US,2,2,5,3,5,1,4,3,3,3,2,5,4,4,3,4,2,1,2,1,1,5,2,4,1,3,1,5,5,5,3,5,5,3,2,4,3,4,4,2,5,1,5,1,4,1,4,4,5,5
4445,3,17,1,2,1,1,US,2,5,3,5,2,2,2,5,2,5,3,5,2,5,3,1,1,1,1,1,2,5,1,5,2,4,2,4,4,4,3,2,4,1,3,3,4,2,5,3,2,5,5,3,2,2,4,2,5,3
4446,13,20,2,1,1,5,US,5,1,5,2,5,1,5,2,5,1,1,5,3,2,1,1,1,1,2,2,4,3,1,4,2,4,1,5,5,5,3,2,5,3,3,1,4,1,3,5,4,1,5,3,5,1,5,5,4,5
4447,3,20,1,2,1,5,US,1,5,3,5,2,5,1,5,1,5,5,2,5,1,5,5,4,4,5,5,1,4,2,4,2,5,2,4,4,2,2,4,4,4,2,4,3,4,3,2,3,3,4,2,3,2,2,2,3,4
4448,3,20,1,2,2,2,US,4,1,5,2,5,2,5,2,5,2,3,3,4,3,3,5,4,4,4,4,5,5,3,3,1,4,2,3,5,4,4,4,5,3,3,4,3,3,4,3,3,4,5,3,4,2,3,3,4,5
4449,3,25,1,2,1,1,AU,2,4,2,3,3,2,2,3,4,5,4,3,4,2,4,3,4,3,5,4,3,3,2,3,4,3,3,3,2,3,4,2,4,2,5,1,5,1,5,4,4,2,4,2,4,3,4,5,5,4
4450,2,18,1,1,1,1,US,4,2,5,2,4,2,5,2,5,3,2,5,1,5,4,2,4,1,2,2,2,4,4,4,2,3,4,4,4,4,5,3,5,1,4,2,5,1,5,5,4,1,5,1,4,1,5,4,4,5
4451,3,41,2,2,1,1,NZ,1,4,2,5,4,5,4,5,1,5,4,2,5,1,5,5,3,3,5,5,2,1,3,3,4,5,4,4,3,4,4,2,5,3,4,1,4,2,4,5,5,1,5,1,5,2,5,5,5,5
4452,13,20,1,2,1,2,US,2,2,5,3,5,2,3,3,4,3,3,5,5,3,3,3,2,1,3,1,5,4,1,5,1,4,1,5,4,5,4,3,5,2,3,2,5,3,3,4,3,3,5,3,4,1,4,2,4,5
4453,3,17,1,1,1,1,US,3,4,4,3,2,4,2,4,4,4,4,3,4,1,4,2,5,4,4,4,4,4,2,4,3,3,3,4,3,4,3,3,5,2,2,2,4,1,2,4,4,1,5,1,5,1,5,3,5,5
4454,3,17,1,2,1,1,US,2,5,3,5,2,2,2,5,5,4,2,5,1,5,1,1,1,1,1,1,2,4,1,5,2,4,1,5,3,4,3,2,2,1,2,2,5,1,5,3,1,4,4,4,3,1,5,3,5,4
4455,3,58,1,2,1,1,US,1,3,3,4,2,2,2,4,2,4,5,2,5,2,2,2,3,3,2,4,1,4,1,5,2,5,2,5,5,5,4,4,5,2,2,2,3,1,4,4,3,3,3,2,3,2,2,2,4,4
4456,3,52,1,2,1,5,CA,4,1,5,2,4,1,4,3,2,4,5,4,5,3,4,5,2,2,5,2,1,5,1,4,2,5,1,4,4,4,3,5,5,3,1,5,2,4,2,2,5,3,5,4,4,1,4,5,5,4
4457,3,49,1,1,1,1,NZ,3,2,3,2,3,2,3,3,3,3,2,3,2,3,2,2,3,2,2,2,3,3,2,3,2,2,2,3,2,4,2,2,3,2,2,3,2,2,3,3,2,2,3,3,3,2,3,3,3,3
4458,3,25,1,2,2,1,US,4,1,5,3,5,2,4,3,4,1,3,4,3,4,1,1,3,3,3,2,1,5,1,5,1,4,1,5,5,5,4,1,5,3,5,1,5,1,4,5,5,1,5,1,5,1,5,5,5,5
4459,11,20,2,2,1,2,PH,3,1,5,3,5,3,4,3,4,4,5,4,5,3,5,5,5,5,5,3,3,5,1,4,1,5,1,4,5,4,4,3,5,1,4,5,5,3,3,4,3,3,4,3,4,1,5,3,5,3
4460,5,27,2,2,1,5,US,3,3,3,3,1,3,3,1,3,2,3,2,2,4,3,2,4,3,3,2,3,4,1,4,2,3,2,3,4,3,4,3,3,4,3,1,2,3,4,5,4,2,3,2,4,1,4,2,5,4
4462,3,21,1,2,1,1,US,3,2,3,3,3,2,3,4,2,2,4,2,4,3,4,3,3,3,2,2,1,5,2,5,1,5,1,5,5,3,5,2,3,1,4,1,4,1,4,4,4,2,5,2,5,1,4,4,5,5
4463,3,18,1,2,2,1,CA,4,2,5,2,5,1,4,2,4,3,4,4,4,2,3,2,3,3,4,2,3,4,3,4,2,4,2,4,2,5,3,4,3,3,2,3,4,2,4,3,5,1,5,1,5,1,4,5,5,5
4464,1,26,1,1,3,3,US,3,3,4,3,4,2,4,3,4,3,2,4,3,4,4,3,3,2,3,2,2,4,3,5,2,5,2,5,5,4,2,4,4,2,1,4,5,1,3,4,4,2,5,2,4,1,4,2,5,4
4465,3,27,1,1,1,3,US,3,1,5,3,5,1,5,3,2,2,2,5,5,4,4,5,4,3,3,2,2,5,4,5,1,5,1,5,4,3,5,5,5,1,2,5,3,3,5,3,5,2,5,1,5,1,4,5,4,5
4466,3,30,1,2,1,1,US,1,2,5,2,5,1,4,3,3,3,2,5,2,4,2,2,2,1,3,2,1,4,2,4,1,4,2,4,4,4,3,1,2,2,3,2,2,1,4,4,3,1,5,1,5,1,5,4,5,5
4467,13,14,1,2,1,1,US,4,4,4,3,4,3,4,3,4,2,3,3,3,1,2,2,3,2,2,1,5,5,2,4,3,3,4,4,4,4,4,2,4,3,3,2,5,3,5,5,2,1,5,1,5,5,4,2,3,5
4468,11,41,2,2,1,1,CN,1,3,4,4,4,2,2,5,2,5,2,2,4,2,2,3,2,1,4,2,1,4,1,5,1,5,2,4,5,5,3,4,5,3,3,4,4,1,4,5,4,4,4,4,3,1,5,3,3,3
4469,3,35,1,2,3,2,AU,4,3,3,3,4,2,4,4,4,3,3,3,4,2,3,2,4,3,1,2,1,4,2,5,2,5,2,5,5,5,3,4,4,3,5,4,3,2,4,4,5,1,5,1,4,1,5,5,5,4
4470,3,19,1,2,1,3,US,1,4,3,3,3,3,1,5,2,3,4,3,5,2,3,3,3,2,3,3,1,4,1,5,1,5,1,5,5,4,5,1,4,1,4,2,5,2,5,4,3,2,3,1,3,2,4,1,4,4
4471,3,20,1,2,1,5,AU,3,2,4,3,5,1,5,4,3,3,3,4,4,2,4,2,3,3,3,2,5,5,1,4,1,5,1,4,5,4,3,3,4,3,3,4,2,4,2,3,4,2,4,1,3,1,4,5,4,4
4472,13,15,1,2,2,1,US,3,1,2,3,4,1,3,4,2,4,4,3,5,3,3,4,3,3,3,2,1,4,3,4,2,3,2,4,4,3,4,4,5,4,2,2,2,3,4,2,5,1,5,1,4,1,4,5,5,5
4473,11,18,2,2,1,1,ID,1,5,2,5,2,5,1,3,4,5,5,3,5,1,3,2,5,3,2,5,2,4,2,4,2,3,2,3,3,1,3,5,5,3,2,5,5,3,1,5,4,2,5,2,1,1,3,4,5,1
4474,3,16,1,2,1,1,US,2,2,2,3,3,2,2,2,4,5,4,4,5,2,3,5,3,2,3,4,1,5,1,4,1,4,1,4,4,3,2,5,5,3,1,4,4,4,2,4,4,2,4,1,3,2,3,4,5,4
4475,3,41,2,1,1,1,TH,4,2,4,2,5,2,4,3,4,2,2,3,2,4,3,1,1,1,1,1,2,5,1,3,2,2,2,3,3,4,2,4,3,3,3,4,3,3,3,4,4,2,4,2,5,1,4,4,3,5
4476,3,25,2,1,1,2,NL,2,5,2,4,2,4,2,4,2,5,1,5,4,4,1,1,1,1,1,2,2,3,2,3,3,2,2,4,2,4,2,2,4,2,3,2,5,4,3,4,5,2,5,1,4,1,4,5,5,5
4477,3,23,1,2,1,1,US,2,1,3,4,2,2,2,4,3,5,4,3,4,3,3,3,2,2,3,2,2,3,2,4,2,4,2,4,4,3,4,1,4,2,3,2,3,2,4,4,2,2,4,2,3,1,4,2,4,2
4478,1,24,1,2,1,5,US,3,1,5,2,5,1,5,3,4,1,4,5,3,4,2,2,3,1,3,2,1,5,2,4,1,3,1,4,4,4,3,3,4,2,3,2,4,3,1,5,5,1,5,1,4,2,4,4,4,5
4479,13,20,1,2,1,5,US,5,1,4,1,5,1,5,2,5,4,5,3,5,2,3,5,5,4,4,3,1,5,2,4,1,4,1,5,5,4,3,3,4,3,4,2,3,3,4,3,2,3,3,2,4,1,2,2,4,3
4480,1,26,1,1,1,5,US,4,2,4,3,4,2,4,3,4,3,4,4,4,4,4,3,3,3,4,2,2,4,3,4,2,5,2,2,5,4,2,4,4,4,2,3,4,2,3,4,4,2,5,2,4,1,4,3,5,4
4481,8,21,1,1,2,2,US,4,1,3,3,3,2,2,3,2,5,3,5,4,4,4,4,3,3,3,3,5,3,2,5,3,4,3,4,3,4,4,4,5,3,2,5,4,3,2,5,4,4,5,3,4,2,4,4,4,4
4482,1,24,1,2,1,5,US,3,1,5,2,5,1,5,3,4,1,2,4,2,4,1,1,4,2,3,1,2,5,2,4,1,3,1,4,4,4,3,3,4,2,3,2,4,2,2,4,5,1,5,1,4,1,5,4,4,5
4483,3,14,1,2,1,1,US,2,2,3,4,3,3,3,4,4,4,3,3,4,2,4,5,4,4,4,5,1,5,4,5,1,5,2,3,4,2,2,1,3,3,3,3,4,2,3,3,2,1,5,3,3,1,2,3,2,4
4484,4,24,2,1,1,1,IN,1,5,2,2,2,2,1,5,1,5,5,4,3,2,3,3,5,4,3,2,5,5,1,5,1,5,2,4,4,5,3,2,4,4,2,2,3,3,1,2,2,2,5,2,5,1,4,1,3,5
4485,3,19,1,2,1,1,US,2,3,4,4,4,3,4,5,3,5,5,3,4,1,3,4,4,3,4,4,2,3,1,4,2,5,1,5,5,5,2,4,4,4,1,1,4,4,3,3,3,2,2,2,3,2,4,2,4,4
4486,3,47,1,2,1,2,AU,2,3,4,3,3,2,2,4,2,4,3,2,5,1,4,4,3,4,2,4,2,3,2,5,3,5,3,4,3,2,4,4,5,4,2,5,3,3,3,5,5,2,5,1,4,1,5,4,5,4
4487,4,40,2,1,1,1,IN,2,3,3,3,3,3,3,3,4,4,2,4,3,5,2,2,3,2,2,2,4,3,1,4,3,3,4,3,4,3,4,2,4,2,3,4,4,2,3,4,3,2,4,2,3,4,4,2,4,3
4488,3,31,2,1,1,1,KZ,2,2,4,3,5,1,4,1,4,4,2,2,4,4,1,2,4,2,1,2,1,5,1,5,1,5,1,4,5,4,3,2,5,2,4,1,5,1,5,5,4,3,5,1,2,2,4,4,5,5
4489,3,18,1,2,1,2,US,1,5,1,5,2,1,1,5,2,5,3,4,4,3,4,3,3,3,3,3,4,1,3,2,5,2,5,2,2,2,1,5,2,5,1,5,2,5,1,2,5,1,5,1,5,1,5,5,5,5
4490,11,17,1,1,2,1,US,1,4,2,5,3,4,2,1,4,4,4,3,5,2,3,5,4,5,4,3,3,3,4,3,3,3,3,3,3,2,2,4,5,3,1,5,3,3,3,4,4,2,5,3,2,3,3,3,5,4
4491,11,39,2,1,1,1,IN,5,2,5,1,5,1,5,1,5,1,1,5,3,3,3,1,2,2,2,1,2,5,1,4,3,3,1,5,4,5,4,1,3,1,2,1,4,1,4,5,5,1,5,2,5,1,5,2,5,5
4492,4,27,2,1,1,1,FR,3,3,5,3,5,5,3,3,3,5,3,2,4,1,1,1,5,1,1,2,4,5,1,3,2,3,1,3,3,3,3,1,5,2,3,2,3,3,3,3,3,3,3,1,5,1,4,2,2,4
4493,4,22,2,2,1,2,IN,2,1,5,4,5,1,5,2,2,1,1,3,3,4,2,2,2,2,2,2,1,5,1,5,1,5,1,5,5,4,4,1,4,2,5,4,4,1,4,4,4,2,5,1,4,1,4,4,5,4
